Company,Model,Year,Rating
bmw,7-series,2005,4.145833333333333
bmw,7-series,2006,4.033333333333333
bmw,7-series,2007,4.157894736842105
bmw,7-series,2008,4.05
bmw,7-series,2009,4.235294117647059
bmw,7-series,2010,3.6
bmw,7-series,2011,4.0
bmw,7-series,2012,3.533333333333333
bmw,7-series,2013,5.0
bmw,7-series,2014,4.571428571428571
bmw,7-series,2015,4.25
bmw,7-series,2016,4.157894736842105
bmw,7-series,2017,3.5555555555555554
bmw,7-series,2018,4.428571428571429
bmw,7-series,2019,4.875
bmw,7-series,2020,5.0
bmw,8-series,2019,5.0
bmw,8-series-gran-coupe,2020,5.0
bmw,activehybrid-5,2016,4.0
bmw,activehybrid-7,2011,5.0
bmw,activehybrid-x6,2010,4.0
bmw,alpina,2003,4.5
bmw,alpina-b6-gran-coupe,2015,5.0
bmw,alpina-b6-gran-coupe,2018,5.0
bmw,alpina-b6-gran-coupe,2019,5.0
bmw,alpina-b7,2007,4.625
bmw,alpina-b7,2008,4.5
bmw,alpina-b7,2011,4.333333333333333
bmw,alpina-b7,2012,3.0
bmw,alpina-b7,2014,4.666666666666667
bmw,alpina-b7,2018,5.0
bmw,i3,2014,3.55
bmw,i3,2015,4.5
bmw,i3,2016,4.5
bmw,i3,2017,4.75
bmw,i3,2018,4.333333333333333
bmw,i3,2019,4.0
bmw,i8,2014,3.6666666666666665
bmw,i8,2015,5.0
bmw,i8,2016,4.0
bmw,i8,2017,5.0
bmw,i8,2019,5.0
bmw,i8,2020,2.0
bmw,m,2000,4.172413793103448
bmw,m,2001,4.266666666666667
bmw,m,2002,4.421052631578948
bmw,m,2006,4.285714285714286
bmw,m2,2016,4.333333333333333
bmw,m2,2017,5.0
bmw,m2,2018,5.0
bmw,m2,2020,5.0
bmw,m3,2001,4.4
bmw,m3,2002,4.294117647058823
bmw,m3,2003,4.2023809523809526
bmw,m3,2004,4.3076923076923075
bmw,m3,2005,4.166666666666667
bmw,m3,2006,4.3076923076923075
bmw,m3,2008,4.0476190476190474
bmw,m3,2009,4.3125
bmw,m3,2010,4.166666666666667
bmw,m3,2011,4.266666666666667
bmw,m3,2012,4.0
bmw,m3,2013,4.2
bmw,m3,2015,4.5
bmw,m3,2016,5.0
bmw,m3,2017,5.0
bmw,m3,2018,5.0
bmw,m3-cs,2018,5.0
bmw,m4,2015,4.181818181818182
bmw,m4,2016,4.7
bmw,m4,2017,4.666666666666667
bmw,m4,2018,4.0
bmw,m4,2019,5.0
bmw,m4,2020,5.0
bmw,m5,2000,4.1891891891891895
bmw,m5,2001,4.217391304347826
bmw,m5,2002,4.2444444444444445
bmw,m5,2003,4.375
bmw,m5,2006,4.176470588235294
bmw,m5,2007,3.6923076923076925
bmw,m5,2008,4.166666666666667
bmw,m5,2010,4.0
bmw,m5,2013,5.0
bmw,m5,2014,4.0
bmw,m5,2015,5.0
bmw,m5,2016,5.0
bmw,m5,2018,5.0
bmw,m5,2019,5.0
bmw,m6,2006,4.142857142857143
bmw,m6,2007,4.222222222222222
bmw,m6,2008,3.7777777777777777
bmw,m6,2009,3.3333333333333335
bmw,m6,2010,4.0
bmw,m6,2013,5.0
bmw,m6,2014,4.0
bmw,m6,2015,5.0
bmw,m6,2016,5.0
bmw,m6-gran-coupe,2014,5.0
bmw,m6-gran-coupe,2016,5.0
bmw,m6-gran-coupe,2017,5.0
bmw,x1,2013,4.27027027027027
bmw,x1,2014,3.7586206896551726
bmw,x1,2015,4.148148148148148
bmw,x1,2016,4.372093023255814
bmw,x1,2017,3.76
bmw,x1,2018,3.9642857142857144
bmw,x1,2019,3.75
bmw,x1,2020,4.428571428571429
bmw,x2,2018,3.7777777777777777
bmw,x2,2019,4.25
bmw,x2,2020,3.2857142857142856
bmw,x3,2004,4.134020618556701
bmw,x3,2005,3.9328859060402683
bmw,x3,2006,3.9814814814814814
bmw,x3,2007,3.981651376146789
bmw,x3,2008,3.4489795918367347
bmw,x3,2009,4.8
bmw,x3,2010,3.8333333333333335
bmw,x3,2011,3.526315789473684
bmw,x3,2012,3.0
bmw,x3,2013,3.4285714285714284
bmw,x3,2014,4.0
bmw,x3,2015,4.4
bmw,x3,2016,4.266666666666667
bmw,x3,2017,3.875
bmw,x3,2018,4.186046511627907
bmw,x3,2019,4.285714285714286
bmw,x3,2020,3.4375
bmw,x3-m,2020,5.0
bmw,x4,2015,4.0
bmw,x4,2017,5.0
bmw,x4,2018,4.666666666666667
bmw,x4,2019,5.0
bmw,x4,2020,4.666666666666667
bmw,x4-m,2020,5.0
bmw,x5,2000,3.769230769230769
bmw,x5,2001,3.8190476190476192
bmw,x5,2002,4.080357142857143
bmw,x5,2003,4.08
bmw,x5,2004,4.042553191489362
bmw,x5,2005,3.8671875
bmw,x5,2006,3.8636363636363638
bmw,x5,2007,3.3857142857142857
bmw,x5,2008,3.475
bmw,x5,2009,4.033898305084746
bmw,x5,2010,4.096153846153846
bmw,x5,2011,3.6666666666666665
bmw,x5,2012,3.473684210526316
bmw,x5,2013,3.6296296296296298
bmw,x5,2014,4.363636363636363
bmw,x5,2015,4.130434782608695
bmw,x5,2016,4.382352941176471
bmw,x5,2017,4.478260869565218
bmw,x5,2018,4.291666666666667
bmw,x5,2019,3.477272727272727
bmw,x5,2020,3.9
bmw,x5-edrive,2016,3.875
bmw,x5-m,2010,4.5
bmw,x5-m,2011,3.6666666666666665
bmw,x5-m,2012,3.5
bmw,x5-m,2013,5.0
bmw,x5-m,2015,4.5
bmw,x5-m,2017,4.25
bmw,x5-m,2018,5.0
bmw,x5-m,2020,5.0
bmw,x6,2008,3.923076923076923
bmw,x6,2009,3.9411764705882355
bmw,x6,2010,3.8
bmw,x6,2011,3.388888888888889
bmw,x6,2012,3.6666666666666665
bmw,x6,2013,4.666666666666667
bmw,x6,2014,3.0
bmw,x6,2015,3.0
bmw,x6,2016,4.777777777777778
bmw,x6,2017,5.0
bmw,x6,2018,5.0
bmw,x6,2019,5.0
bmw,x6,2020,5.0
bmw,x6-m,2010,4.5
bmw,x6-m,2011,4.0
bmw,x6-m,2012,5.0
bmw,x6-m,2014,4.666666666666667
bmw,x6-m,2016,5.0
bmw,x6-m,2017,3.5
bmw,x7,2019,3.3
bmw,x7,2020,3.4615384615384617
bmw,z3,2000,4.041666666666667
bmw,z3,2001,4.34
bmw,z3,2002,4.212121212121212
bmw,z4,2003,4.42
bmw,z4,2004,4.41
bmw,z4,2005,4.289156626506024
bmw,z4,2006,4.351351351351352
bmw,z4,2007,4.433333333333334
bmw,z4,2008,4.666666666666667
bmw,z4,2009,4.466666666666667
bmw,z4,2010,4.5
bmw,z4,2011,4.076923076923077
bmw,z4,2012,4.75
bmw,z4,2014,5.0
bmw,z4,2015,4.666666666666667
bmw,z4,2016,4.888888888888889
bmw,z4,2019,5.0
bmw,z4,2020,4.833333333333333
bmw,z4-m,2007,4.230769230769231
bmw,z4-m,2008,4.444444444444445
bmw,z8,2000,4.5
bmw,z8,2001,4.625
bmw,z8,2002,4.363636363636363
bmw,z8,2003,4.434782608695652
buick,cascada,2016,3.875
buick,cascada,2017,4.416666666666667
buick,cascada,2018,4.777777777777778
buick,cascada,2019,4.8
buick,century,2000,3.707317073170732
buick,century,2001,3.7755102040816326
buick,century,2002,3.9545454545454546
buick,century,2003,3.9285714285714284
buick,century,2004,4.1
buick,century,2005,4.423076923076923
buick,enclave,2008,3.765
buick,enclave,2009,3.7032967032967035
buick,enclave,2010,3.689189189189189
buick,enclave,2011,3.8518518518518516
buick,enclave,2012,3.5172413793103448
buick,enclave,2013,3.8260869565217392
buick,enclave,2014,3.8333333333333335
buick,enclave,2015,4.074074074074074
buick,enclave,2016,3.357142857142857
buick,enclave,2017,4.3
buick,enclave,2018,3.82
